,experiment,metric,page,corr,corr_type
96,quality,IPS,vocals-10-SIR,-0.6169962362675064,pearson
97,quality,IPS,vocals-11-SAR,-0.9658077235194996,pearson
98,quality,IPS,vocals-12-SAR,-0.8376676185127775,pearson
99,quality,IPS,vocals-18-SIR,-0.7756240435091626,pearson
100,quality,IPS,vocals-19-SIR,-0.7356533634204208,pearson
101,quality,IPS,vocals-20-SAR,-0.7550628772652549,pearson
102,quality,IPS,vocals-24-SAR,-0.8513904429378988,pearson
103,quality,IPS,vocals-25-SAR,-0.9178179452907671,pearson
104,quality,IPS,vocals-26-SIR,-0.9545281329815706,pearson
105,quality,IPS,vocals-30-SIR,-0.7280575294733654,pearson
106,quality,IPS,vocals-41-SIR,-0.8678822783070895,pearson
107,quality,IPS,vocals-42-SAR,-0.003844847280457638,pearson
108,quality,IPS,vocals-45-SIR,-0.9831351629808016,pearson
109,quality,IPS,vocals-47-SAR,-0.700705278669912,pearson
110,quality,IPS,vocals-48-SAR,-0.9943908849547383,pearson
111,quality,IPS,vocals-49-SIR,-0.9107368742393802,pearson
112,quality,SAR,vocals-10-SIR,0.7754197853845458,pearson
113,quality,SAR,vocals-11-SAR,0.7504722994030206,pearson
114,quality,SAR,vocals-12-SAR,0.7249068071281762,pearson
115,quality,SAR,vocals-18-SIR,0.8669050579928627,pearson
116,quality,SAR,vocals-19-SIR,0.7664882391194758,pearson
117,quality,SAR,vocals-20-SAR,0.9235198560127058,pearson
118,quality,SAR,vocals-24-SAR,0.6743271372240044,pearson
119,quality,SAR,vocals-25-SAR,0.6179391216264631,pearson
120,quality,SAR,vocals-26-SIR,0.7731244012345129,pearson
121,quality,SAR,vocals-30-SIR,-0.25202357402736514,pearson
122,quality,SAR,vocals-41-SIR,-0.4678449055321335,pearson
123,quality,SAR,vocals-42-SAR,0.7699442981565926,pearson
124,quality,SAR,vocals-45-SIR,0.6544131899451281,pearson
125,quality,SAR,vocals-47-SAR,0.6489934853572878,pearson
126,quality,SAR,vocals-48-SAR,0.9740371851093778,pearson
127,quality,SAR,vocals-49-SIR,0.9018725376591235,pearson
128,quality,SIR,vocals-10-SIR,-0.908231471292265,pearson
129,quality,SIR,vocals-11-SAR,-0.8147215596028219,pearson
130,quality,SIR,vocals-12-SAR,-0.8397223409299887,pearson
131,quality,SIR,vocals-18-SIR,-0.8857794367934566,pearson
132,quality,SIR,vocals-19-SIR,-0.9609314464260605,pearson
133,quality,SIR,vocals-20-SAR,-0.5410051149985013,pearson
134,quality,SIR,vocals-24-SAR,-0.9335000072583599,pearson
135,quality,SIR,vocals-25-SAR,-0.8765785868230365,pearson
136,quality,SIR,vocals-26-SIR,-0.8505414031702068,pearson
137,quality,SIR,vocals-30-SIR,-0.906854503844619,pearson
138,quality,SIR,vocals-41-SIR,-0.8735398018347947,pearson
139,quality,SIR,vocals-42-SAR,0.2908738095554183,pearson
140,quality,SIR,vocals-45-SIR,-0.8920650807094884,pearson
141,quality,SIR,vocals-47-SAR,-0.49242555574133273,pearson
142,quality,SIR,vocals-48-SAR,-0.8491225350565734,pearson
143,quality,SIR,vocals-49-SIR,-0.7147175749322384,pearson
144,quality,TPS,vocals-10-SIR,0.9740133092280129,pearson
145,quality,TPS,vocals-11-SAR,0.8392285081212735,pearson
146,quality,TPS,vocals-12-SAR,0.2064866452887251,pearson
147,quality,TPS,vocals-18-SIR,0.6632884368383606,pearson
148,quality,TPS,vocals-19-SIR,0.8320937740334425,pearson
149,quality,TPS,vocals-20-SAR,-0.49736338294232973,pearson
150,quality,TPS,vocals-24-SAR,0.956734139609964,pearson
151,quality,TPS,vocals-25-SAR,0.8830909111846831,pearson
152,quality,TPS,vocals-26-SIR,0.9628461563945344,pearson
153,quality,TPS,vocals-30-SIR,0.5435451910496976,pearson
154,quality,TPS,vocals-41-SIR,0.8114505814890767,pearson
155,quality,TPS,vocals-42-SAR,0.9450503272302065,pearson
156,quality,TPS,vocals-45-SIR,0.8311446102564681,pearson
157,quality,TPS,vocals-47-SAR,0.7272417775960345,pearson
158,quality,TPS,vocals-48-SAR,0.9044232292388507,pearson
159,quality,TPS,vocals-49-SIR,0.9894638383343014,pearson
0,interferer,APS,vocals-10-SIR,-0.8999999999999998,spearman
1,interferer,APS,vocals-11-SAR,-0.8999999999999998,spearman
2,interferer,APS,vocals-12-SAR,-0.7,spearman
3,interferer,APS,vocals-18-SIR,-0.7,spearman
4,interferer,APS,vocals-19-SIR,-0.7,spearman
5,interferer,APS,vocals-20-SAR,-0.7,spearman
6,interferer,APS,vocals-24-SAR,-0.7999999999999999,spearman
7,interferer,APS,vocals-25-SAR,-0.7,spearman
8,interferer,APS,vocals-26-SIR,-0.6,spearman
9,interferer,APS,vocals-30-SIR,-0.8999999999999998,spearman
10,interferer,APS,vocals-41-SIR,-0.9999999999999999,spearman
11,interferer,APS,vocals-42-SAR,-0.19999999999999998,spearman
12,interferer,APS,vocals-45-SIR,-0.6,spearman
13,interferer,APS,vocals-47-SAR,-0.39999999999999997,spearman
14,interferer,APS,vocals-48-SAR,-0.7999999999999999,spearman
15,interferer,APS,vocals-49-SIR,-0.6,spearman
16,interferer,IPS,vocals-10-SIR,0.7,spearman
17,interferer,IPS,vocals-11-SAR,0.6,spearman
18,interferer,IPS,vocals-12-SAR,0.9999999999999999,spearman
19,interferer,IPS,vocals-18-SIR,0.8999999999999998,spearman
20,interferer,IPS,vocals-19-SIR,0.9999999999999999,spearman
21,interferer,IPS,vocals-20-SAR,0.7,spearman
22,interferer,IPS,vocals-24-SAR,0.7,spearman
23,interferer,IPS,vocals-25-SAR,0.6,spearman
24,interferer,IPS,vocals-26-SIR,0.7,spearman
25,interferer,IPS,vocals-30-SIR,0.6,spearman
26,interferer,IPS,vocals-41-SIR,0.8999999999999998,spearman
27,interferer,IPS,vocals-42-SAR,0.7999999999999999,spearman
28,interferer,IPS,vocals-45-SIR,0.7999999999999999,spearman
29,interferer,IPS,vocals-47-SAR,0.7999999999999999,spearman
30,interferer,IPS,vocals-48-SAR,0.8999999999999998,spearman
31,interferer,IPS,vocals-49-SIR,0.9999999999999999,spearman
32,interferer,SAR,vocals-10-SIR,-0.3,spearman
33,interferer,SAR,vocals-11-SAR,-0.8999999999999998,spearman
34,interferer,SAR,vocals-12-SAR,-0.3,spearman
35,interferer,SAR,vocals-18-SIR,-0.3,spearman
36,interferer,SAR,vocals-19-SIR,-0.7,spearman
37,interferer,SAR,vocals-20-SAR,-0.39999999999999997,spearman
38,interferer,SAR,vocals-24-SAR,-0.8999999999999998,spearman
39,interferer,SAR,vocals-25-SAR,-0.6,spearman
40,interferer,SAR,vocals-26-SIR,-0.6,spearman
41,interferer,SAR,vocals-30-SIR,0.7,spearman
42,interferer,SAR,vocals-41-SIR,0.7999999999999999,spearman
43,interferer,SAR,vocals-42-SAR,0.7999999999999999,spearman
44,interferer,SAR,vocals-45-SIR,-0.8999999999999998,spearman
45,interferer,SAR,vocals-47-SAR,-0.09999999999999999,spearman
46,interferer,SAR,vocals-48-SAR,-0.8999999999999998,spearman
47,interferer,SAR,vocals-49-SIR,-0.6,spearman
48,interferer,SIR,vocals-10-SIR,0.9999999999999999,spearman
49,interferer,SIR,vocals-11-SAR,0.9999999999999999,spearman
50,interferer,SIR,vocals-12-SAR,0.9999999999999999,spearman
51,interferer,SIR,vocals-18-SIR,0.8999999999999998,spearman
52,interferer,SIR,vocals-19-SIR,0.8999999999999998,spearman
53,interferer,SIR,vocals-20-SAR,0.9999999999999999,spearman
54,interferer,SIR,vocals-24-SAR,0.8999999999999998,spearman
55,interferer,SIR,vocals-25-SAR,0.9999999999999999,spearman
56,interferer,SIR,vocals-26-SIR,0.7,spearman
57,interferer,SIR,vocals-30-SIR,0.8999999999999998,spearman
58,interferer,SIR,vocals-41-SIR,0.8999999999999998,spearman
59,interferer,SIR,vocals-42-SAR,0.9999999999999999,spearman
60,interferer,SIR,vocals-45-SIR,0.9999999999999999,spearman
61,interferer,SIR,vocals-47-SAR,0.9999999999999999,spearman
62,interferer,SIR,vocals-48-SAR,0.9999999999999999,spearman
63,interferer,SIR,vocals-49-SIR,0.8999999999999998,spearman
64,interferer,TPS,vocals-10-SIR,-0.7999999999999999,spearman
65,interferer,TPS,vocals-11-SAR,-0.8999999999999998,spearman
66,interferer,TPS,vocals-12-SAR,-0.6,spearman
67,interferer,TPS,vocals-18-SIR,-0.8999999999999998,spearman
68,interferer,TPS,vocals-19-SIR,-0.49999999999999994,spearman
69,interferer,TPS,vocals-20-SAR,0.6,spearman
70,interferer,TPS,vocals-24-SAR,-0.8999999999999998,spearman
71,interferer,TPS,vocals-25-SAR,-0.6,spearman
72,interferer,TPS,vocals-26-SIR,-0.6,spearman
73,interferer,TPS,vocals-30-SIR,0.0,spearman
74,interferer,TPS,vocals-41-SIR,-0.8999999999999998,spearman
75,interferer,TPS,vocals-42-SAR,0.19999999999999998,spearman
76,interferer,TPS,vocals-45-SIR,-0.6,spearman
77,interferer,TPS,vocals-47-SAR,-0.49999999999999994,spearman
78,interferer,TPS,vocals-48-SAR,-0.7999999999999999,spearman
79,interferer,TPS,vocals-49-SIR,-0.49999999999999994,spearman
80,quality,APS,vocals-10-SIR,0.7,spearman
81,quality,APS,vocals-11-SAR,0.8999999999999998,spearman
82,quality,APS,vocals-12-SAR,0.8999999999999998,spearman
83,quality,APS,vocals-18-SIR,0.8999999999999998,spearman
84,quality,APS,vocals-19-SIR,0.9999999999999999,spearman
85,quality,APS,vocals-20-SAR,0.9999999999999999,spearman
86,quality,APS,vocals-24-SAR,0.8999999999999998,spearman
87,quality,APS,vocals-25-SAR,0.8999999999999998,spearman
88,quality,APS,vocals-26-SIR,0.9999999999999999,spearman
89,quality,APS,vocals-30-SIR,0.8999999999999998,spearman
90,quality,APS,vocals-41-SIR,0.8999999999999998,spearman
91,quality,APS,vocals-42-SAR,0.8999999999999998,spearman
92,quality,APS,vocals-45-SIR,0.9999999999999999,spearman
93,quality,APS,vocals-47-SAR,0.8999999999999998,spearman
94,quality,APS,vocals-48-SAR,0.8999999999999998,spearman
95,quality,APS,vocals-49-SIR,0.7,spearman
96,quality,IPS,vocals-10-SIR,-0.39999999999999997,spearman
97,quality,IPS,vocals-11-SAR,-0.8999999999999998,spearman
98,quality,IPS,vocals-12-SAR,-0.8999999999999998,spearman
99,quality,IPS,vocals-18-SIR,-0.7,spearman
100,quality,IPS,vocals-19-SIR,-0.7,spearman
101,quality,IPS,vocals-20-SAR,-0.7,spearman
102,quality,IPS,vocals-24-SAR,-0.6,spearman
103,quality,IPS,vocals-25-SAR,-0.7,spearman
104,quality,IPS,vocals-26-SIR,-0.8999999999999998,spearman
105,quality,IPS,vocals-30-SIR,-0.8999999999999998,spearman
106,quality,IPS,vocals-41-SIR,-0.7999999999999999,spearman
107,quality,IPS,vocals-42-SAR,-0.09999999999999999,spearman
108,quality,IPS,vocals-45-SIR,-0.8999999999999998,spearman
109,quality,IPS,vocals-47-SAR,-0.49999999999999994,spearman
110,quality,IPS,vocals-48-SAR,-0.9999999999999999,spearman
111,quality,IPS,vocals-49-SIR,-0.6,spearman
112,quality,SAR,vocals-10-SIR,0.49999999999999994,spearman
113,quality,SAR,vocals-11-SAR,0.6,spearman
114,quality,SAR,vocals-12-SAR,0.6,spearman
115,quality,SAR,vocals-18-SIR,0.8999999999999998,spearman
116,quality,SAR,vocals-19-SIR,0.9999999999999999,spearman
117,quality,SAR,vocals-20-SAR,0.8999999999999998,spearman
118,quality,SAR,vocals-24-SAR,0.7999999999999999,spearman
119,quality,SAR,vocals-25-SAR,0.49999999999999994,spearman
120,quality,SAR,vocals-26-SIR,0.9999999999999999,spearman
121,quality,SAR,vocals-30-SIR,-0.19999999999999998,spearman
122,quality,SAR,vocals-41-SIR,-0.49999999999999994,spearman
123,quality,SAR,vocals-42-SAR,0.49999999999999994,spearman
124,quality,SAR,vocals-45-SIR,0.19999999999999998,spearman
125,quality,SAR,vocals-47-SAR,0.49999999999999994,spearman
126,quality,SAR,vocals-48-SAR,0.9999999999999999,spearman
127,quality,SAR,vocals-49-SIR,0.9999999999999999,spearman
128,quality,SIR,vocals-10-SIR,-0.8999999999999998,spearman
129,quality,SIR,vocals-11-SAR,-0.7,spearman
130,quality,SIR,vocals-12-SAR,-0.8999999999999998,spearman
131,quality,SIR,vocals-18-SIR,-0.7,spearman
132,quality,SIR,vocals-19-SIR,-0.8999999999999998,spearman
133,quality,SIR,vocals-20-SAR,-0.7,spearman
134,quality,SIR,vocals-24-SAR,-0.9999999999999999,spearman
135,quality,SIR,vocals-25-SAR,-0.8999999999999998,spearman
136,quality,SIR,vocals-26-SIR,-0.8999999999999998,spearman
137,quality,SIR,vocals-30-SIR,-0.8999999999999998,spearman
138,quality,SIR,vocals-41-SIR,-0.7,spearman
139,quality,SIR,vocals-42-SAR,0.09999999999999999,spearman
140,quality,SIR,vocals-45-SIR,-0.6,spearman
141,quality,SIR,vocals-47-SAR,-0.7,spearman
142,quality,SIR,vocals-48-SAR,-0.8999999999999998,spearman
143,quality,SIR,vocals-49-SIR,-0.49999999999999994,spearman
144,quality,TPS,vocals-10-SIR,0.8999999999999998,spearman
145,quality,TPS,vocals-11-SAR,0.8999999999999998,spearman
146,quality,TPS,vocals-12-SAR,0.7,spearman
147,quality,TPS,vocals-18-SIR,0.3,spearman
148,quality,TPS,vocals-19-SIR,0.8999999999999998,spearman
149,quality,TPS,vocals-20-SAR,-0.6,spearman
150,quality,TPS,vocals-24-SAR,0.9999999999999999,spearman
151,quality,TPS,vocals-25-SAR,0.7,spearman
152,quality,TPS,vocals-26-SIR,0.7999999999999999,spearman
153,quality,TPS,vocals-30-SIR,0.3,spearman
154,quality,TPS,vocals-41-SIR,0.7999999999999999,spearman
155,quality,TPS,vocals-42-SAR,0.8999999999999998,spearman
156,quality,TPS,vocals-45-SIR,0.9999999999999999,spearman
157,quality,TPS,vocals-47-SAR,0.6,spearman
158,quality,TPS,vocals-48-SAR,0.8999999999999998,spearman
159,quality,TPS,vocals-49-SIR,0.8999999999999998,spearman
